slug,category,is_pitfall,relatedTerms_count,relatedTools_count,relatedNodes_count,missing_flags
083-ctrl-plc,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
084-ctrl-servo,embedded,False,0,0,1,relatedTerms+relatedTools
085-electrical-safety,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
090-pitfall-dl-training,deep-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
091-pitfall-gpu-cuda,deep-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
092-pitfall-python,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
093-pitfall-docker,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
094-pitfall-data-engineering,data-processing,False,0,0,0,relatedTerms+relatedTools+relatedNodes
095-pitfall-llm-app,llm,False,0,0,0,relatedTerms+relatedTools+relatedNodes
096-pitfall-rag,llm,False,0,0,0,relatedTerms+relatedTools+relatedNodes
097-pitfall-embedded,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
098-pitfall-hardware,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
099-pitfall-ops,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
100-pitfall-cv,computer-vision,False,0,0,0,relatedTerms+relatedTools+relatedNodes
101-pitfall-nlp,nlp,False,0,0,0,relatedTerms+relatedTools+relatedNodes
102-pitfall-metrics,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
103-pitfall-deployment,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
104-pitfall-security,llm,False,0,0,0,relatedTerms+relatedTools+relatedNodes
105-pitfall-git,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
106-pitfall-k8s,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
107-pitfall-db,cs,False,0,0,0,relatedTerms+relatedTools+relatedNodes
108-pitfall-network,cs,False,0,0,0,relatedTerms+relatedTools+relatedNodes
109-pitfall-rtos,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
110-pitfall-control,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
111-pitfall-circuit,embedded,False,0,0,0,relatedTerms+relatedTools+relatedNodes
112-rl-basics,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
113-gnn-basics,deep-learning,False,0,1,0,relatedTerms+relatedNodes
114-asr-speech-recognition,speech,False,0,1,0,relatedTerms+relatedNodes
115-tts-speech-synthesis,nlp,False,0,0,1,relatedTerms+relatedTools
116-recommender-systems,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
117-time-series,data-processing,False,0,0,0,relatedTerms+relatedTools+relatedNodes
118-anomaly-detection,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
119-knowledge-graph,nlp,False,0,0,1,relatedTerms+relatedTools
120-3d-point-cloud,computer-vision,False,0,0,0,relatedTerms+relatedTools+relatedNodes
121-object-tracking,computer-vision,False,0,0,0,relatedTerms+relatedTools+relatedNodes
122-federated-learning,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
123-automl,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
124-pitfall-rl,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
125-pitfall-gnn,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
126-pitfall-recsys,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
127-pitfall-speech,speech,False,0,0,0,relatedTerms+relatedTools+relatedNodes
128-pitfall-time-series,data-processing,False,0,0,0,relatedTerms+relatedTools+relatedNodes
129-pitfall-3d-cv,computer-vision,False,0,0,0,relatedTerms+relatedTools+relatedNodes
130-pitfall-automl,machine-learning,False,0,0,0,relatedTerms+relatedTools+relatedNodes
131-pitfall-microservice,devops,False,0,0,0,relatedTerms+relatedTools+relatedNodes
132-pitfall-frontend,cs,False,0,0,0,relatedTerms+relatedTools+relatedNodes
133-pitfall-algorithm,cs,False,0,0,0,relatedTerms+relatedTools+relatedNodes
134-pitfall-project-mgmt,best-practices,False,0,0,0,relatedTerms+relatedTools+relatedNodes
135-pitfall-interview,best-practices,False,0,0,0,relatedTerms+relatedTools+relatedNodes
140-pitfall-c-pointer-out-of-bounds,embedded,True,0,0,0,relatedTerms+relatedTools+relatedNodes
141-pitfall-rtos-task-stack-overflow,embedded,True,0,0,0,relatedTerms+relatedTools+relatedNodes
142-pitfall-pid-tuning-oscillation,embedded,True,0,0,0,relatedTerms+relatedTools+relatedNodes
143-pitfall-fft-spectral-leakage,embedded,True,0,0,0,relatedTerms+relatedTools+relatedNodes
144-pitfall-h-bridge-shoot-through,embedded,True,0,0,0,relatedTerms+relatedTools+relatedNodes
145-pitfall-cuda-pytorch-version-mismatch,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
146-pitfall-cuda-out-of-memory,deep-learning,True,0,0,0,relatedTerms+relatedTools+relatedNodes
147-pitfall-loss-nan-gradient-explosion,deep-learning,True,0,0,0,relatedTerms+relatedTools+relatedNodes
148-pitfall-onnx-export-dynamic-shape,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
149-pitfall-multiprocess-dataloader-hang,deep-learning,True,0,0,0,relatedTerms+relatedTools+relatedNodes
150-pitfall-rag-retrieval-hallucination,llm,True,0,0,0,relatedTerms+relatedTools+relatedNodes
151-pitfall-ssh-connection-drop,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
152-pitfall-docker-gpu-not-available,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
153-pitfall-slow-convergence,deep-learning,True,0,0,0,relatedTerms+relatedTools+relatedNodes
154-pitfall-git-merge-conflict-code-loss,best-practices,True,0,0,0,relatedTerms+relatedTools+relatedNodes
155-pitfall-python-dependency-conflict,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
156-pitfall-ssh-firewall-blocked,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
157-pitfall-poor-data-labeling,data-processing,True,0,0,0,relatedTerms+relatedTools+relatedNodes
158-pitfall-cuda-implicit-sync-slow-inference,deep-learning,True,0,0,0,relatedTerms+relatedTools+relatedNodes
159-pitfall-docker-timezone-mismatch,devops,True,0,0,0,relatedTerms+relatedTools+relatedNodes
160-pitfall-pandas-chained-assignment-warning,data-processing,True,0,0,0,relatedTerms+relatedTools+relatedNodes
161-pitfall-gpu-architecture-mismatch,deep-learning,True,0,0,0,relatedTerms+relatedTools+relatedNodes
162-pitfall-llm-prompt-escape-json-truncation,llm,True,0,0,0,relatedTerms+relatedTools+relatedNodes
